,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
11305,b'2017-01-28',texas-pan-american,b'@',b'Seattle',1,b'L',b'84',b'96',b'25',b'57',b'.439',b'11',b'28',b'.393',b'23',b'26',b'.885',b'5',b'23',b'18',b'9',b'1',b'17',b'27',b'30',b'48',b'.625',b'14',b'24',b'.583',b'22',b'33',b'.667',b'2',b'24',b'23',b'6',b'2',b'16',b'21',False
11306,b'2017-02-04',texas-pan-american,b'',b'UMKC',1,b'L',b'60',b'73',b'21',b'58',b'.362',b'6',b'22',b'.273',b'12',b'19',b'.632',b'8',b'29',b'10',b'2',b'3',b'11',b'21',b'22',b'52',b'.423',b'7',b'23',b'.304',b'22',b'28',b'.786',b'6',b'34',b'15',b'4',b'2',b'10',b'18',False
11307,b'2017-02-09',texas-pan-american,b'@',b'Grand Canyon',1,b'L',b'57',b'76',b'22',b'65',b'.338',b'3',b'27',b'.111',b'10',b'14',b'.714',b'9',b'37',b'10',b'9',b'0',b'18',b'22',b'25',b'53',b'.472',b'7',b'19',b'.368',b'19',b'26',b'.731',b'3',b'37',b'19',b'8',b'2',b'15',b'16',False
11308,b'2017-02-11',texas-pan-american,b'@',b'Cal State Bakersfield',1,b'L',b'53',b'75',b'17',b'61',b'.279',b'3',b'23',b'.130',b'16',b'21',b'.762',b'17',b'39',b'8',b'5',b'3',b'20',b'21',b'29',b'62',b'.468',b'3',b'13',b'.231',b'14',b'23',b'.609',b'12',b'38',b'15',b'12',b'10',b'10',b'20',False
11309,b'2017-02-18',texas-pan-american,b'',b'New Mexico State',1,b'L',b'101',b'107',b'33',b'68',b'.485',b'7',b'25',b'.280',b'28',b'35',b'.800',b'11',b'31',b'11',b'7',b'2',b'8',b'28',b'33',b'60',b'.550',b'10',b'18',b'.556',b'31',b'40',b'.775',b'9',b'33',b'22',b'4',b'1',b'10',b'20',False
11310,b'2017-02-23',texas-pan-american,b'',b'Seattle',1,b'L',b'77',b'86',b'23',b'60',b'.383',b'13',b'39',b'.333',b'18',b'21',b'.857',b'9',b'25',b'18',b'8',b'1',b'15',b'22',b'26',b'43',b'.605',b'11',b'22',b'.500',b'23',b'26',b'.885',b'1',b'24',b'21',b'8',b'1',b'16',b'17',False
11311,b'2017-02-25',texas-pan-american,b'',b'Utah Valley',1,b'L',b'68',b'88',b'25',b'68',b'.368',b'7',b'25',b'.280',b'11',b'14',b'.786',b'9',b'27',b'14',b'8',b'3',b'12',b'24',b'29',b'53',b'.547',b'8',b'18',b'.444',b'22',b'29',b'.759',b'6',b'39',b'18',b'7',b'1',b'20',b'18',False
11312,b'2017-03-04',texas-pan-american,b'@',b'New Mexico State',1,b'L',b'81',b'107',b'33',b'68',b'.485',b'4',b'23',b'.174',b'11',b'19',b'.579',b'6',b'24',b'12',b'3',b'1',b'10',b'25',b'34',b'65',b'.523',b'8',b'24',b'.333',b'31',b'39',b'.795',b'18',b'50',b'22',b'3',b'3',b'14',b'17',False
11313,b'2017-03-09',texas-pan-american,b'N',b'UMKC',1,b'L(1 OT)',b'78',b'82',b'23',b'67',b'.343',b'11',b'29',b'.379',b'21',b'36',b'.583',b'10',b'42',b'10',b'5',b'2',b'16',b'34',b'24',b'64',b'.375',b'7',b'20',b'.350',b'27',b'43',b'.628',b'13',b'49',b'9',b'6',b'5',b'17',b'26',False
11314,,texas-san-antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
